date,cash,stock_value,assets_value,pos_count
2020-06-03 09:39:18,284860.507,-185350.0,99510.50699999998,2
2020-06-03 09:39:21,284860.507,-185350.0,99510.50699999998,2
2020-06-03 09:39:24,284860.507,-185350.0,99510.50699999998,2
2020-06-03 09:39:27,284860.507,-185350.0,99510.50699999998,2
2020-06-03 09:39:30,284860.507,-185390.0,99470.50699999998,2
2020-06-03 09:39:33,284860.507,-185380.0,99480.50699999998,2
2020-06-03 09:39:36,284860.507,-185440.0,99420.50699999998,2
2020-06-03 09:39:39,284860.507,-185450.0,99410.50699999998,2
2020-06-03 09:39:42,284860.507,-185440.0,99420.50699999998,2
2020-06-03 09:39:45,284860.507,-185660.0,99200.50699999998,2
2020-06-03 09:39:48,284860.507,-185640.0,99220.50699999998,2
2020-06-03 09:39:51,284860.507,-185640.0,99220.50699999998,2
2020-06-03 09:39:54,284860.507,-185580.0,99280.50699999998,2
2020-06-03 09:39:57,284860.507,-185630.0,99230.50699999998,2
2020-06-03 09:40:00,284860.507,-185440.0,99420.50699999998,2
2020-06-03 09:40:03,284860.507,-185420.0,99440.50699999998,2
2020-06-03 09:40:06,284860.507,-185430.0,99430.50699999998,2
2020-06-03 09:40:09,284860.507,-185460.0,99400.50699999998,2
2020-06-03 09:40:12,284860.507,-185290.0,99570.50699999998,2
2020-06-03 09:40:15,284860.507,-185420.0,99440.50699999998,2
2020-06-03 09:40:18,284860.507,-185310.0,99550.50699999998,2
2020-06-03 09:40:21,284860.507,-185280.0,99580.50699999998,2
2020-06-03 09:40:24,284860.507,-185390.0,99470.50699999998,2
2020-06-03 09:40:27,284860.507,-185330.0,99530.50699999998,2
2020-06-03 09:40:30,284860.507,-185210.0,99650.50699999998,2
2020-06-03 09:40:33,284860.507,-185190.0,99670.50699999998,2
2020-06-03 09:40:36,284860.507,-185120.0,99740.50699999998,2
2020-06-03 09:40:39,284860.507,-184990.0,99870.50699999998,2
2020-06-03 09:40:42,284860.507,-184950.0,99910.50699999998,2
2020-06-03 09:40:45,284860.507,-184960.0,99900.50699999998,2
2020-06-03 09:40:48,284860.507,-184930.0,99930.50699999998,2
2020-06-03 09:40:51,284860.507,-184920.0,99940.50699999998,2
2020-06-03 09:40:54,284860.507,-184910.0,99950.50699999998,2
2020-06-03 09:40:57,284860.507,-184900.0,99960.50699999998,2
2020-06-03 09:41:00,284860.507,-184850.0,100010.50699999998,2
2020-06-03 09:41:03,284860.507,-184910.0,99950.50699999998,2
2020-06-03 09:41:06,284860.507,-184740.0,100120.50699999998,2
2020-06-03 09:41:09,284860.507,-184960.0,99900.50699999998,2
2020-06-03 09:41:12,284860.507,-184960.0,99900.50699999998,2
2020-06-03 09:41:15,284860.507,-184870.0,99990.50699999998,2
2020-06-03 09:41:18,284860.507,-184960.0,99900.50699999998,2
2020-06-03 09:41:21,284860.507,-184960.0,99900.50699999998,2
2020-06-03 09:41:24,284860.507,-184940.0,99920.50699999998,2
